ENSEMBL,SYMBOL,Binding_Sites,In_NDD_Databases,NDD_Categories
ENSG00000156709,AIFM1,1,FALSE,NA
ENSG00000156875,MFSD14A,1,FALSE,NA
ENSG00000157087,ATP2B2,1,FALSE,NA
ENSG00000157093,LYZL4,1,FALSE,NA
ENSG00000157224,CLDN12,1,FALSE,NA
ENSG00000157343,ARMC12,1,FALSE,NA
ENSG00000157654,PALM2AKAP2,1,FALSE,NA
ENSG00000157657,ZNF618,1,FALSE,NA
ENSG00000157954,WIPI2,1,FALSE,NA
ENSG00000158122,PRXL2C,1,FALSE,NA
ENSG00000158458,NRG2,1,FALSE,NA
ENSG00000159173,TNNI1,1,FALSE,NA
ENSG00000159445,THEM4,1,FALSE,NA
ENSG00000159692,CTBP1,1,FALSE,NA
ENSG00000160007,ARHGAP35,1,FALSE,NA
ENSG00000160191,PDE9A,1,FALSE,NA
ENSG00000160818,GPATCH4,1,FALSE,NA
ENSG00000160999,SH2B2,1,FALSE,NA
ENSG00000161643,SIGLEC16,1,FALSE,NA
ENSG00000162761,LMX1A,1,FALSE,NA
ENSG00000162849,KIF26B,1,FALSE,NA
ENSG00000162888,IKBKE-AS1,1,FALSE,NA
ENSG00000162896,PIGR,1,FALSE,NA
ENSG00000162992,NEUROD1,1,FALSE,NA
ENSG00000163050,COQ8A,1,FALSE,NA
ENSG00000163376,KBTBD8,1,FALSE,NA
ENSG00000163393,SLC22A15,1,FALSE,NA
ENSG00000163406,SLC15A2,1,FALSE,NA
ENSG00000163590,PPM1L,1,FALSE,NA
ENSG00000163600,ICOS,1,FALSE,NA
ENSG00000163624,CDS1,1,FALSE,NA
ENSG00000163705,FANCD2OS,1,FALSE,NA
ENSG00000163710,PCOLCE2,1,FALSE,NA
ENSG00000163785,RYK,1,FALSE,NA
ENSG00000163864,NMNAT3,1,FALSE,NA
ENSG00000163885,CFAP100,1,FALSE,NA
ENSG00000163947,ARHGEF3,1,FALSE,NA
ENSG00000163995,ABLIM2,1,FALSE,NA
ENSG00000164082,GRM2,1,FALSE,NA
ENSG00000164087,POC1A,1,FALSE,NA
ENSG00000164144,ARFIP1,1,FALSE,NA
