"Gene","Degree","Betweenness","Eigen_Centrality","Community"
"UPB1",12,622.209581585836,0.00879109779547265,15
"WNT10B",12,83.6105096493589,0.0814947343551997,5
"CREB3L2",12,865.215915284402,0.109472284768554,5
"ACVR2A",12,597.795581788701,0.120099061424292,5
"EDNRA",12,490.82523232712,0.0604400763364907,7
"TAF5L",12,284.273892332125,0.0387466356858064,2
"DPY19L2",12,1459.93937226063,0.00296201890781826,1
"LMO1",12,540.456927797456,0.0349152470238796,5
"RAB27B",12,664.111083948868,0.0149749484709273,9
"AP3S1",12,320.09922895753,0.0889903408066162,11
"DNER",12,973.420083841164,0.0558523314637906,7
"PPFIA4",12,514.008247790622,0.0164474512302326,11
"PTGER3",12,244.916666433413,0.0713307966253945,7
"ACSL5",12,1273.86777548398,0.0748687792184261,15
"SPATA16",12,866.863077848275,0.00329471351149444,1
"DDX20",12,1041.58606283432,0.0440907613332129,6
"GBF1",12,415.05858047004,0.0209885074223743,9
"MAP2K3",12,407.908991232187,0.124402020305807,8
"MFSD14A",12,1147.1788053224,0.00636379994551352,1
"ZBTB16",12,91.0223233132171,0.222393231053082,5
"LCOR",12,217.520448287323,0.0896697383426147,5
"PI4K2A",12,400.945550307419,0.0380366731567544,11
"OTUD1",12,220.687245100366,0.0925990531759551,5
"PCLO",12,575.634331293911,0.0363669775436631,9
"MAFB",12,2709.8419959363,0.0382164419335588,12
"MITF",12,196.307843069007,0.116830414458763,5
"MIR5193",12,859.642980629708,0.105555998322375,5
"BCAS3",12,1497.29243446189,0.00277699883623161,9
"AEBP2",12,149.101936094966,0.0595593336054081,5
"KIF16B",12,1157.19278777643,0.0131418737784851,11
"PKP4",12,1043.38238114178,0.0655730886411227,18
"MDN1",12,1792.53450014675,0.0433437887505274,6
"PSAT1",12,1639.75290477465,0.0232329031968339,1
"MBD5",12,614.136556669946,0.07875740264758,5
"AAK1",12,232.984177550454,0.0609969000236001,11
"WDR72",12,1080.96124335006,0.0108271664900818,12
"TNIK",12,543.45805429409,0.0383613677309029,7
"CWC27",12,1019.46083364372,0.00893117073567575,6
"BAZ2B",12,349.762705240097,0.0563482975948904,2
"RGS1",12,1592.84602203807,0.0621963386680319,7
"PHACTR2",12,702.480874357835,0.0273215216735422,15
"VPS53",12,281.235419325863,0.0146587377110338,9
"PTPRG",12,354.830704047599,0.0286731835555807,10
"AP3M2",12,457.885727091681,0.0472658224543946,11
"ERI1",12,307.426656866474,0.0158221178126972,6
"CELF1",12,861.329559002338,0.0660715394317061,11
"TIAM2",12,591.509044986231,0.101176905756441,5
"SH2B2",12,947.959109383264,0.0986339730902494,11
"EML5",12,974.753279178859,0.0140936431282232,7
"NUP62",12,287.666279039279,0.0526936080661817,6
"PPP1R12B",12,1141.36830382667,0.038365961359169,11
"ZPBP",10,213.226229199001,0.000605726157501394,1
"CFAP61",10,488.653780813326,0.00145920044349237,1
"USP37",10,671.10453867879,0.0507381979249574,6
"ARHGAP20",10,756.663633878683,0.0300282279940873,6
"RASGEF1B",10,379.716150555274,0.0152783131673791,7
"GYPC",10,494.126593818215,0.0230638123945988,7
"PTPN4",10,236.131793042979,0.0720748338773529,10
"MOCOS",10,1833.36783038201,0.00804306609533043,1
"SPG7",10,869.077660682084,0.029291560863208,5
"ACAA2",10,162.247479438701,0.0128660492427638,15
"CYTH3",10,882.95989156535,0.046817810381828,11
"AIFM1",10,202.817461981184,0.101663188603756,5
"RIN2",10,1886.36235118867,0.0152076898405647,1
