"Gene","Degree","Betweenness","Eigen_Centrality","Community","Functional_Category","NDD_Association","Hub_Status"
"CNDP2",20,2247.4707584787,0.011878219443521,15,"Other Functions","No","Non-Hub"
"BLM",20,343.849880902547,0.142445408196857,2,"Other Functions","No","Non-Hub"
"FERMT2",20,650.682772964413,0.15003591797613,11,"Other Functions","No","Non-Hub"
"PSEN2",20,1950.03732675062,0.142407507897765,5,"Other Functions","No","Non-Hub"
"PLXNA2",20,1802.36088890401,0.0438969343633087,3,"Other Functions","No","Non-Hub"
"SGIP1",20,1181.03701753635,0.0813513855172714,11,"Other Functions","No","Non-Hub"
"LPAR1",20,1893.96384094452,0.17718520788513,7,"Other Functions","No","Non-Hub"
"KSR1",20,1287.74219659907,0.0725362007066165,7,"Other Functions","No","Non-Hub"
"MAP3K1",20,1057.16927068005,0.151306382921932,8,"Other Functions","No","Non-Hub"
"PLXNB2",20,3010.36758348807,0.0826694094737005,3,"Other Functions","No","Non-Hub"
"GPATCH4",20,1470.97361517935,0.0270433236401493,6,"Other Functions","No","Non-Hub"
"ASAP1",20,972.909339401912,0.113297594092619,11,"Other Functions","No","Non-Hub"
"FGF6",18,205.584225612128,0.249798977683777,11,"Other Functions","No","Non-Hub"
"LRPPRC",18,3953.58693613686,0.105459100876538,5,"Other Functions","No","Non-Hub"
"FERMT3",18,392.418129269316,0.0718060887472018,11,"Other Functions","No","Non-Hub"
"PLXNC1",18,1856.04556814712,0.0283878250583164,3,"Other Functions","No","Non-Hub"
"HTR2C",18,1714.64213905375,0.0516957886948515,7,"Other Functions","No","Non-Hub"
"NEUROD1",18,2386.46439772226,0.141591017228699,12,"Other Functions","No","Non-Hub"
"PIWIL4",18,1953.23814296814,0.0766601220319129,6,"Other Functions","No","Non-Hub"
"KAT6B",18,368.395409758779,0.158036443621727,2,"Other Functions","No","Non-Hub"
"GABBR2",18,1090.64817404746,0.08998139873418,7,"Other Functions","No","Non-Hub"
"SEC23B",18,1870.28393010183,0.0195106744866088,9,"Other Functions","No","Non-Hub"
"EPB41L3",18,499.122054192573,0.0883905812761118,7,"Other Functions","No","Non-Hub"
"PIK3C2B",18,706.634471776427,0.0505956908401117,11,"Other Functions","No","Non-Hub"
"PPP2R2A",18,2020.68687464003,0.0863155180078514,13,"Other Functions","No","Non-Hub"
"PTPN14",18,1758.875739076,0.0917252156769466,10,"Other Functions","No","Non-Hub"
"SNX5",18,2344.20614798872,0.0710139111214876,9,"Other Functions","No","Non-Hub"
"AGO4",18,1156.80721867885,0.0873660611748839,6,"Other Functions","No","Non-Hub"
"MLLT3",18,1194.91796624683,0.12806536831775,2,"Other Functions","No","Non-Hub"
"KCNQ3",18,325.888699314769,0.0544012384709123,7,"Synaptic Organization","Yes","Non-Hub"
"PTPRA",18,1968.57091033026,0.0551722650158395,10,"Other Functions","No","Non-Hub"
"UNC13B",18,1126.55930132035,0.0323151038471566,9,"Other Functions","No","Non-Hub"
"SUPT3H",18,3207.97959665661,0.0765794130613269,2,"Other Functions","No","Non-Hub"
"NOLC1",18,1883.19240664384,0.0129097153626312,6,"Other Functions","No","Non-Hub"
"CYP19A1",18,1655.05914248686,0.169326496966799,5,"Other Functions","No","Non-Hub"
"FHIT",18,1423.44902838149,0.161706788259875,5,"Other Functions","No","Non-Hub"
"PHC3",18,702.820650035196,0.148903540466537,5,"Other Functions","No","Non-Hub"
"TLN2",18,1127.15529861728,0.125644704402061,11,"Other Functions","No","Non-Hub"
"NTF3",18,460.200711638898,0.26217019323122,11,"Other Functions","No","Non-Hub"
"TBC1D1",16,1964.94283205896,0.0962760204905576,11,"Other Functions","No","Non-Hub"
"PEPD",16,1934.3075178528,0.0200741016897412,15,"Other Functions","No","Non-Hub"
"RHEB",16,1131.95560729619,0.116381764866087,11,"Other Functions","No","Non-Hub"
"APBA1",16,505.25170403624,0.0605118547055369,7,"Other Functions","No","Non-Hub"
"ARL1",16,620.436239435022,0.021097742504319,9,"Other Functions","No","Non-Hub"
"RIOK2",16,272.211914974959,0.0126340228580528,6,"Other Functions","No","Non-Hub"
"CPSF2",16,1187.84344546287,0.0280467376723366,6,"Other Functions","No","Non-Hub"
"TRMT61B",16,1002.16582352184,0.0148697433424954,6,"Other Functions","No","Non-Hub"
"TANC1",16,2686.71745127901,0.0528472103179343,7,"Other Functions","No","Non-Hub"
"PRKCE",16,416.745991535811,0.202604568702478,7,"Other Functions","No","Non-Hub"
"PRKCH",16,2894.81800427571,0.107026494180727,7,"Other Functions","No","Non-Hub"
"UVRAG",16,1950.29838396058,0.0736505329139438,19,"Other Functions","No","Non-Hub"
"CTNNAL1",16,2052.12344751786,0.0701305484003789,18,"Other Functions","No","Non-Hub"
"STX7",16,1269.69291834452,0.0110284630426164,9,"Other Functions","No","Non-Hub"
"CECR2",16,321.569697614553,0.0676095454737926,2,"Other Functions","No","Non-Hub"
"OPHN1",16,1422.42946656126,0.0771922931950984,11,"Other Functions","No","Non-Hub"
"ARID1B",16,269.948518218058,0.114780298944401,2,"Other Functions","Yes","Non-Hub"
"SMC5",16,466.652045445051,0.116478891665137,2,"Other Functions","No","Non-Hub"
"LEPR",16,1066.51191009798,0.213027015840984,8,"Other Functions","No","Non-Hub"
"BCL11B",16,369.76778792024,0.178184226845375,5,"Other Functions","No","Non-Hub"
"WASF1",16,1393.64071308198,0.0440728182679375,7,"Other Functions","No","Non-Hub"
"CHM",16,1735.81047419927,0.011192756719213,9,"Other Functions","No","Non-Hub"
"HDAC9",16,160.984396665396,0.170788517929049,5,"Other Functions","No","Non-Hub"
"THADA",16,1863.82269561832,0.00772407562632274,6,"Other Functions","No","Non-Hub"
"OTUD7B",16,1507.81139277997,0.106600991864513,5,"Other Functions","No","Non-Hub"
"SEM1",16,370.156793656369,0.135969496821306,5,"Other Functions","No","Non-Hub"
"ATXN1",14,1134.23741649407,0.165555224585048,5,"Other Functions","No","Non-Hub"
"IL10RA",14,160.154286104647,0.143102148434597,8,"Other Functions","No","Non-Hub"
"CD22",14,987.019158004717,0.0902664563541624,8,"Other Functions","No","Non-Hub"
"PDE7B",14,1187.27207509823,0.0108536112163364,7,"Other Functions","No","Non-Hub"
"PDE8A",14,782.694675387933,0.0123135867033316,7,"Other Functions","No","Non-Hub"
"LRRFIP2",14,1439.20082879432,0.0225899164830409,18,"Other Functions","No","Non-Hub"
"HIP1",14,677.74509160453,0.118115489352595,11,"Other Functions","No","Non-Hub"
"KIF13A",14,814.457777260291,0.0484164713811862,9,"Other Functions","No","Non-Hub"
"WIPI2",14,1821.05341483263,0.020370585890192,19,"Other Functions","No","Non-Hub"
"BTAF1",14,272.468320065946,0.0718757215610843,2,"Other Functions","No","Non-Hub"
"JARID2",14,93.9864161193223,0.108567099593786,5,"Other Functions","No","Non-Hub"
"BDP1",14,734.789760524503,0.0755065990147914,2,"Other Functions","No","Non-Hub"
"SIAH1",14,528.937624370142,0.116873373203497,5,"Other Functions","No","Non-Hub"
"MKLN1",14,2516.92098325607,0.00901448949586324,9,"Other Functions","No","Non-Hub"
"COG2",14,116.074542698433,0.0230779457219436,9,"Other Functions","No","Non-Hub"
"AHI1",14,1162.90775700158,0.00639344140961659,13,"Other Functions","No","Non-Hub"
"COL24A1",14,2268.74738466005,0.0200492057677136,10,"Other Functions","No","Non-Hub"
"ALDH9A1",14,930.528215155191,0.0190503393157048,15,"Other Functions","No","Non-Hub"
"TP53BP2",14,581.86967442311,0.098778171076332,5,"Other Functions","No","Non-Hub"
"KCNIP4",14,661.615036901115,0.0254911626710882,7,"Other Functions","No","Non-Hub"
"DAAM1",14,299.869931719584,0.0502860931419645,9,"Other Functions","No","Non-Hub"
"VWA8",14,1754.13874448397,0.0103052283138171,11,"Other Functions","No","Non-Hub"
"TBC1D4",14,1416.66179564953,0.0584562273706126,9,"Other Functions","No","Non-Hub"
"SLC8A1",14,1117.31421027783,0.026097865934309,7,"Other Functions","No","Non-Hub"
"GRM2",14,275.94651333033,0.0584624985785787,7,"Other Functions","No","Non-Hub"
"PRKAR1B",14,478.689839085416,0.0695565101439904,7,"Other Functions","No","Non-Hub"
"RGS6",14,2707.0561139227,0.0676716386588077,7,"Other Functions","No","Non-Hub"
"IGLL5",14,814.07176109999,0.0497389370145336,11,"Other Functions","No","Non-Hub"
"ECHDC1",14,1393.37234556373,0.026156446654517,15,"Other Functions","No","Non-Hub"
"CMSS1",14,822.349937398418,0.00654056429994895,6,"Other Functions","No","Non-Hub"
"ROBO2",14,967.601442386865,0.0645538183903503,3,"Other Functions","No","Non-Hub"
"SPCS3",14,1459.68289563997,0.0319787753821747,15,"Other Functions","No","Non-Hub"
"HTR2A",14,679.275784034349,0.0643831752240896,7,"Other Functions","No","Non-Hub"
"LPP",14,686.809287647496,0.0389766867212243,9,"Other Functions","No","Non-Hub"
"MACROD2",12,1044.84298552576,0.0368130839268977,14,"Other Functions","No","Non-Hub"
"DHTKD1",12,1416.39422354441,0.0058089143980463,3,"Other Functions","No","Non-Hub"
"GRB14",12,1355.10278904796,0.104867436706164,11,"Other Functions","No","Non-Hub"
"PTPRO",12,460.37019114437,0.0705389638222266,10,"Other Functions","No","Non-Hub"
"DGKD",12,1504.02998433359,0.0571227266180889,11,"Other Functions","No","Non-Hub"
"MED13L",12,241.52556245808,0.078382420634864,2,"Other Functions","No","Non-Hub"
"TP63",12,156.160224943885,0.061606213023221,5,"Other Functions","No","Non-Hub"
"LOC102724945",12,851.138766564084,0.104026218095919,5,"Other Functions","No","Non-Hub"
"LRFN5",12,791.819374475668,0.0393235903926679,7,"Other Functions","No","Non-Hub"
"RTN1",12,1155.4596587249,0.00740581167024216,9,"Other Functions","No","Non-Hub"
"UPB1",12,622.209581585836,0.00879109779547265,15,"Other Functions","No","Non-Hub"
"WNT10B",12,83.6105096493589,0.0814947343551997,5,"Other Functions","No","Non-Hub"
"CREB3L2",12,865.215915284402,0.109472284768554,5,"Other Functions","No","Non-Hub"
"ACVR2A",12,597.795581788701,0.120099061424292,5,"Other Functions","No","Non-Hub"
"EDNRA",12,490.82523232712,0.0604400763364907,7,"Other Functions","No","Non-Hub"
"TAF5L",12,284.273892332125,0.0387466356858064,2,"Other Functions","No","Non-Hub"
