"Gene","Degree","Betweenness","Eigen_Centrality","Community","Functional_Category","NDD_Association","Hub_Status"
"ARMC12",2,0,0.000677700426786159,11,"Other Functions","No","Non-Hub"
"FRA10AC1",2,0,0.000587338585322963,6,"Other Functions","No","Non-Hub"
"PCDHGC3",2,0,0.00431226837528602,18,"Other Functions","No","Non-Hub"
"MT4",2,0,0.00149880893708496,8,"Other Functions","No","Non-Hub"
"UGT1A7",2,0,0.0111353805821795,5,"Other Functions","No","Non-Hub"
"HLX",2,0,0,20,"Other Functions","No","Non-Hub"
"BCAR3",2,0,0.0308608411307815,11,"Other Functions","No","Non-Hub"
"TMEM217",2,0,0.00103184515460178,13,"Other Functions","No","Non-Hub"
"KRTAP5-10",2,0,0,21,"Other Functions","No","Non-Hub"
"LRP12",2,0,0.0018083252531473,5,"Other Functions","No","Non-Hub"
"GPCPD1",2,0,0.000576332439264118,19,"Other Functions","No","Non-Hub"
"CEMIP2",2,0,0.0111381260829888,7,"Other Functions","No","Non-Hub"
"ZNF594",2,0,0.000512166414089287,7,"Other Functions","No","Non-Hub"
"TFPI",2,0,0.000848978726576346,6,"Other Functions","No","Non-Hub"
"C2CD4B",2,0,0.000507956659385118,6,"Other Functions","No","Non-Hub"
"SLC14A2",2,0,0.00070856818826061,19,"Other Functions","No","Non-Hub"
"DUSP21",2,0,6.2171983694983e-06,13,"Other Functions","No","Non-Hub"
"TBCK",2,0,0.00543656990183992,3,"Other Functions","No","Non-Hub"
"NIPAL2",2,0,0.00043012566849728,6,"Other Functions","No","Non-Hub"
"CPED1",2,0,0.000594215330357635,17,"Other Functions","No","Non-Hub"
"UGT3A1",2,0,1.94142170128708e-05,7,"Other Functions","No","Non-Hub"
"AGAP5",2,0,0.000270151502239252,7,"Other Functions","No","Non-Hub"
"GRAMD1C",2,0,3.28274275143031e-05,1,"Other Functions","No","Non-Hub"
"POC1A",2,0,6.69256131050802e-05,1,"Other Functions","No","Non-Hub"
"CRYBG1",2,0,0.00112077123587849,15,"Other Functions","No","Non-Hub"
"RCBTB1",2,0,0,22,"Other Functions","No","Non-Hub"
"SLC35F4",2,0,0.000276568666522202,19,"Other Functions","No","Non-Hub"
"PAN3",2,0,0.000330884143894282,10,"Other Functions","No","Non-Hub"
"AMMECR1",2,0,0.00251662119875284,6,"Other Functions","No","Non-Hub"
"HACE1",2,0,0.0011208421312962,11,"Other Functions","No","Non-Hub"
"TMEM182",2,0,0.00610547536079712,9,"Other Functions","No","Non-Hub"
"ZSWIM4",2,0,0.0290406627312872,5,"Other Functions","No","Non-Hub"
"PLAAT4",2,0,0.00309259424657923,5,"Other Functions","No","Non-Hub"
"METTL16",2,0,0.000558492564817014,13,"Other Functions","No","Non-Hub"
"ADAM2",2,0,0,16,"Other Functions","No","Non-Hub"
"LYZL4",2,0,0.00015636034757559,1,"Other Functions","No","Non-Hub"
"SHCBP1",2,0,3.42294153795521e-06,17,"Other Functions","No","Non-Hub"
"FBXO31",2,0,0.0290406627312872,5,"Other Functions","No","Non-Hub"
"RNLS",2,0,0.0262624869368393,8,"Other Functions","No","Non-Hub"
"OSTF1",2,0,0.0352226275512231,11,"Other Functions","No","Non-Hub"
"SLC25A26",2,0,0.000141307816518925,1,"Other Functions","No","Non-Hub"
"S100A10",2,0,0.00764669437713397,19,"Other Functions","No","Non-Hub"
"SLC44A5",2,0,0.000516730936333856,19,"Other Functions","No","Non-Hub"
"TOE1",2,0,0.00289953088499572,6,"Other Functions","No","Non-Hub"
"IL1RAPL2",2,0,0.00507637952793144,11,"Other Functions","No","Non-Hub"
"CSMD2",2,0,0.000398410989119587,10,"Other Functions","No","Non-Hub"
"DELEC1",2,0,0.00394825220145818,5,"Other Functions","No","Non-Hub"
"TNFSF15",2,0,0.0325060812041607,5,"Other Functions","No","Non-Hub"
"OR8B2",2,0,0.0075193076501506,7,"Other Functions","No","Non-Hub"
"HRH2",2,0,0.00751930765015061,7,"Other Functions","No","Non-Hub"
"NDUFAF5",2,0,0.0069352832849602,5,"Other Functions","No","Non-Hub"
"TMEM241",2,0,0,4,"Other Functions","No","Non-Hub"
"SEC14L1",2,0,0.000824434438717269,2,"Other Functions","No","Non-Hub"
"ARMC2",2,0,5.12166528572321e-05,9,"Other Functions","No","Non-Hub"
"CEP112",2,0,3.42294153795107e-06,17,"Other Functions","No","Non-Hub"
"LRRIQ1",2,0,1.0278419483878e-05,10,"Other Functions","No","Non-Hub"
"CIAPIN1",2,0,0.00436685834151922,8,"Other Functions","No","Non-Hub"
"HMBOX1",2,0,0,20,"Other Functions","No","Non-Hub"
"KRTAP10-4",2,0,0,21,"Other Functions","No","Non-Hub"
"BTBD3",2,0,0.000864246108599822,11,"Other Functions","No","Non-Hub"
"KIF26B",2,0,5.39539556470165e-05,12,"Other Functions","No","Non-Hub"
"KBTBD12",2,0,0.00466847402715122,3,"Other Functions","No","Non-Hub"
"SLC38A11",2,0,6.40979637246901e-05,19,"Other Functions","No","Non-Hub"
"SLC39A10",2,0,0.000126436129709215,17,"Other Functions","No","Non-Hub"
"IPCEF1",2,0,0.00307886920219101,11,"Other Functions","No","Non-Hub"
"TMEM68",2,0,0.000182608710672941,14,"Other Functions","No","Non-Hub"
"SLC35G2",2,0,4.95719236723211e-05,10,"Other Functions","No","Non-Hub"
"IRAG1",2,0,0.00183973139896146,7,"Other Functions","No","Non-Hub"
"L1TD1",2,0,0.000517950390947889,11,"Other Functions","No","Non-Hub"
"PLCXD2",2,0,0.00347537928285416,7,"Other Functions","No","Non-Hub"
"TTC39B",2,0,0.00153521296204346,11,"Other Functions","No","Non-Hub"
"TENM3",2,0,0.00543656990183992,3,"Other Functions","No","Non-Hub"
"FANCD2OS",2,0,0.000194790587539494,1,"Other Functions","No","Non-Hub"
"CCDC180",2,0,0.000838728496474164,6,"Other Functions","No","Non-Hub"
"FNDC3A",2,0,0,22,"Other Functions","No","Non-Hub"
"MINDY2",2,0,0.0404048820570764,5,"Other Functions","No","Non-Hub"
"CDIN1",2,0,0.00128307612639035,9,"Other Functions","No","Non-Hub"
"STMND1",2,0,0.0108873712392702,5,"Other Functions","No","Non-Hub"
"ZBTB7C",2,0,0.0179223588072691,8,"Other Functions","No","Non-Hub"
"PLCL2",2,0,0.000167176325769909,3,"Other Functions","No","Non-Hub"
"MTUS2",2,0,4.51015904494514e-05,6,"Other Functions","No","Non-Hub"
